"index";"comment";"time";"learning rate";"gamma";"epoch";"batch size";"seed";"log interval";"optimizer";transform";"stepLRsize";"loss";"test loss";"accuracy"
1;Testing;-1;4.0;0.7;2;100;1;10;Adadelta;Compose(    ToTensor()    Normalize(mean=(0.1307,), std=(0.3081,)));1;[1.618026852607727, 1.5790492296218872, 1.334381103515625, 1.586308240890503, 0.43575242161750793, 0.2856284976005554, 0.20174255967140198, 0.16866786777973175, 0.03751087561249733, 0.04271138086915016, 0.032032500952482224, 0.022872263565659523, 0.0028238254599273205, 0.017400527372956276, 0.10908385366201401, 0.0015893111703917384, 0.000908014306332916, 0.003926178440451622, 0.06197012960910797, 0.005849631503224373, 0.002512156032025814, 0.0023501641117036343, 0.0008014640188775957, 0.002001147950068116, 0.0011793650919571519, 0.0009101874311454594, 0.0002843800466507673, 0.006112311501055956, 0.001656597014516592, 0.021439041942358017, 0.0017493304330855608, 0.009985311888158321, 0.000160471725394018, 0.0028399121947586536, 0.00017668944201432168, 0.008110187016427517, 0.00013996046618558466, 5.736872844863683e-05, 0.0012640580534934998, 0.00017188947822432965, 5.4723266657674685e-05, 0.00048672794946469367, 9.569995745550841e-05, 0.0002008194860536605, 0.00019927415996789932, 0.003002478973940015, 0.0003643730597104877, 0.00010849870886886492, 0.00030187374795787036, 0.00019474874716252089, 0.0001815737778088078, 0.0015260751824826002, 2.460419273120351e-05, 1.4275661669671535e-05];[0.28963952845670543, 0.30283338581739083];[96.9955724225174, 98.00759013282732]
2;camtesting;-1;4.0;0.7;2;100;1;10;Adadelta;Compose(    ToTensor()    Normalize(mean=(0.1307,), std=(0.3081,)));1;[1.6161117553710938, 1.7755656242370605, 1.6084212064743042, 0.9424206018447876, 0.42318207025527954, 0.5831611156463623, 0.2130572348833084, 0.23531395196914673, 0.10277063399553299, 0.05115221440792084, 0.08074834197759628, 0.1318880319595337, 0.08273188769817352, 0.08431495726108551, 0.03843763843178749, 0.02008203975856304, 0.021062005311250687, 0.010429641231894493, 0.015464534983038902, 0.016792818903923035, 0.034308455884456635, 0.11422035843133926, 0.010231757536530495, 0.010369053110480309, 0.01157342828810215, 0.010672664269804955, 0.022849060595035553, 0.04808073118329048, 0.008693432435393333, 0.010205256752669811, 0.003055101726204157, 0.023159749805927277, 0.009036987088620663, 0.020718658342957497, 0.004921565763652325, 0.006200379226356745, 0.005793473217636347, 0.00480952113866806, 0.0758788213133812, 0.005064195953309536, 0.003304291283711791, 0.0020656513515859842, 0.0031866005156189203, 0.001192600466310978, 0.0004391386464703828, 0.003126969328150153, 0.0015389418695122004, 0.0035912201274186373, 0.0012028085766360164, 0.0010650347685441375, 0.0004770084924530238, 0.0005130568169988692, 0.0001587962033227086, 0.0006879307911731303];[0.3203390170923145, 0.4059703158548103];[91.01834282099937, 93.70651486401012]
3;camtesting;-1;4.0;0.7;2;100;1;10;Adadelta;Compose(    ToTensor()    Normalize(mean=(0.1307,), std=(0.3081,)));1;[1.614059329032898, 1.5708250999450684, 1.3875181674957275, 1.0876812934875488, 0.7263131737709045, 0.8108989000320435, 0.5614646673202515, 0.5306477546691895, 0.4774632155895233, 0.40392497181892395, 0.45694202184677124, 0.46722930669784546, 0.3690333068370819, 0.3047705590724945, 0.3771195709705353, 0.3053424060344696, 0.22111059725284576, 0.22723230719566345, 0.27152296900749207, 0.3932321071624756, 0.30779755115509033, 0.22617429494857788, 0.23197169601917267, 0.17399154603481293, 0.11006856709718704, 0.20315894484519958, 0.16336895525455475, 0.18993842601776123, 0.17024022340774536, 0.12616470456123352, 0.15797792375087738, 0.15510119497776031, 0.15875455737113953, 0.15872730314731598, 0.19385623931884766, 0.1093769297003746, 0.22138822078704834, 0.1504518985748291, 0.12106901407241821, 0.13540589809417725, 0.12264902889728546, 0.0941295325756073, 0.1304098516702652, 0.1267966330051422, 0.11558737605810165, 0.03183256462216377, 0.14103823900222778, 0.09126991033554077, 0.18528953194618225, 0.07520436495542526, 0.09285067766904831, 0.12098564207553864, 0.13533681631088257, 0.1144261583685875];[0.11477172834672632, 0.10830738060388438];[96.36306135357368, 96.3314358001265]
4;More backgrounds;-1;4.0;0.7;3;100;1;10;Adadelta;Compose(    ToTensor()    Normalize(mean=(0.1307,), std=(0.3081,)));1;[1.6044164896011353, 1.5994747877120972, 1.5723131895065308, 1.1652988195419312, 1.042967438697815, 0.92144376039505, 0.8621580600738525, 0.7630849480628967, 1.0013587474822998, 0.7296832799911499, 0.5187143087387085, 0.6165453195571899, 0.4026840627193451, 0.36764025688171387, 0.3217499256134033, 0.3944196403026581, 0.38355395197868347, 0.2164299041032791, 0.15635420382022858, 0.23628763854503632, 0.11922988295555115, 0.11560949683189392, 0.18649135529994965, 0.12824073433876038, 0.2855701148509979, 0.14145717024803162, 0.22145912051200867, 0.19505925476551056, 0.11639085412025452, 0.07603099197149277, 0.285005658864975, 0.08648388087749481, 0.07388873398303986, 0.1226244643330574, 0.20498310029506683, 0.10453739762306213, 0.06360773742198944, 0.05863237753510475, 0.10394582897424698, 0.20603112876415253, 0.04977542534470558, 0.4050358235836029, 0.055097032338380814, 0.01405450701713562, 0.04591673985123634, 0.12783119082450867, 0.04379003867506981, 0.08366438746452332, 0.09922054409980774, 0.021097488701343536, 0.0942779928445816, 0.030555130913853645, 0.08303236961364746, 0.011470007710158825, 0.08303709328174591, 0.0163674708455801, 0.06202884018421173, 0.04607977345585823, 0.005373683758080006, 0.05318340286612511, 0.034148287028074265, 0.012243025004863739, 0.07454600930213928, 0.07786083966493607, 0.011977814137935638, 0.004764125216752291, 0.0024977780412882566, 0.032603777945041656, 0.019298605620861053, 0.01651773974299431, 0.061049722135066986, 0.0868031233549118, 0.008163142018020153, 0.045434050261974335, 0.050668999552726746, 0.05181506648659706, 0.008062193170189857, 0.004561085719615221, 0.0048470101319253445, 0.003189826849848032, 0.015438544563949108, 0.06500275433063507, 0.07154145836830139, 0.030388399958610535, 0.022334855049848557, 0.0007097022025845945, 0.007593623362481594, 0.009013158269226551, 0.005569555331021547, 0.003883273107931018, 0.013281386345624924, 0.006997259333729744, 0.005090204067528248, 0.007845778949558735, 0.006647093687206507, 0.004019434563815594, 0.11141246557235718, 0.04214875400066376, 0.006273801438510418, 0.00490092858672142, 0.0029184860177338123, 0.012390063144266605, 0.006239425390958786, 0.009352709166705608, 0.01940726302564144, 0.008206470869481564, 0.0027159550227224827, 0.009172976016998291, 0.005614573135972023, 0.01885124482214451, 0.005771966651082039, 0.007308698259294033, 0.0015302206156775355, 0.023878786712884903, 0.0006501501775346696, 0.00974209327250719, 0.0005394328618422151, 0.006535534746944904, 0.0010591833852231503, 0.01135011576116085, 0.03958980739116669, 0.004216509871184826, 0.00028208212461322546];[0.49573999422175963, 0.2423912575205541, 0.06315171051973478];[88.63838096928812, 94.39020060358601, 98.29575714539322]
5;more epochs;411.5302333831787;4.0;0.7;5;100;1;10;Adadelta;Compose(    ToTensor()    Normalize(mean=(0.1307,), std=(0.3081,)));1;[1.6044164896011353, 1.5994747877120972, 1.5697166919708252, 1.1786342859268188, 1.0454587936401367, 0.9223899245262146, 0.8535628318786621, 0.7695345878601074, 0.8507726192474365, 0.6483241319656372, 0.563874363899231, 1.0789986848831177, 0.4106825292110443, 0.5913032293319702, 0.23786859214305878, 0.2838548421859741, 0.44438016414642334, 0.24547727406024933, 0.1478545367717743, 0.15205807983875275, 0.09977149963378906, 0.1774652600288391, 0.2097349315881729, 0.19458597898483276, 0.1365469992160797, 0.1485225111246109, 0.08267480134963989, 0.18222801387310028, 0.10691292583942413, 0.06552834808826447, 0.13374334573745728, 0.390110582113266, 0.05754745006561279, 0.06048070266842842, 0.10767446458339691, 0.3977643549442291, 0.10871856659650803, 0.049341119825839996, 0.0975288674235344, 0.08583465218544006, 0.08905450999736786, 0.06970994174480438, 0.0799010768532753, 0.015539863146841526, 0.07309697568416595, 0.04288100823760033, 0.02107798308134079, 0.04533344879746437, 0.024435922503471375, 0.025160646066069603, 0.10311548411846161, 0.013800138607621193, 0.06178238242864609, 0.06736652553081512, 0.04539097845554352, 0.02355460822582245, 0.06985701620578766, 0.05053986981511116, 0.005951455794274807, 0.008879313245415688, 0.024119088426232338, 0.018256623297929764, 0.06911034137010574, 0.05344463884830475, 0.022387215867638588, 0.003710916731506586, 0.0026910537853837013, 0.05332373082637787, 0.030453834682703018, 0.015651794150471687, 0.014575237408280373, 0.02493252046406269, 0.003726215334609151, 0.01993895135819912, 0.058993998914957047, 0.03034953586757183, 0.008550127036869526, 0.005672423634678125, 0.005706945434212685, 0.016382506117224693, 0.010741956532001495, 0.2183607518672943, 0.033618710935115814, 0.005288435146212578, 0.013069425709545612, 0.0032619109842926264, 0.008786728605628014, 0.021628379821777344, 0.007851582020521164, 0.011807072907686234, 0.04221083223819733, 0.013026394881308079, 0.001782306469976902, 0.03232182562351227, 0.060640424489974976, 0.0032502245157957077, 0.0009601429919712245, 0.016194943338632584, 0.010196995921432972, 0.001432781107723713, 0.005360828712582588, 0.024555042386054993, 0.0020015055779367685, 0.004998788703233004, 0.018461860716342926, 0.0024212952703237534, 0.0031860223971307278, 0.017336582764983177, 0.002870630007237196, 0.003843928687274456, 0.008550661616027355, 0.002472258871421218, 0.0018130183452740312, 0.007360870949923992, 0.001614669687114656, 0.011952687054872513, 0.0011534023797139525, 0.005048372782766819, 0.00775679899379611, 0.0022086354438215494, 0.009797566570341587, 0.0010173763148486614, 0.0006184423691593111, 0.002253450220450759, 0.008147782646119595, 0.005027848295867443, 0.013046035543084145, 0.010350937955081463, 0.010303791612386703, 0.0017026045825332403, 0.016103262081742287, 0.00017254486738238484, 0.02733813226222992, 0.0027220731135457754, 0.0011358007322996855, 0.00039111467776820064, 0.0008540558628737926, 0.0010947557166218758, 0.002769801067188382, 0.001721059437841177, 0.003337589092552662, 0.00041194260120391846, 0.0006509121740236878, 0.0006525619537569582, 0.0009089690283872187, 0.0006227591075003147, 0.0554710254073143, 0.006905345246195793, 0.001957687782123685, 0.002212511608377099, 0.003745320253074169, 0.0011910332832485437, 0.0024100998416543007, 0.00026424211682751775, 0.000737242866307497, 0.0010165931889787316, 0.002304470632225275, 0.06687610596418381, 0.0022239170502871275, 8.952386997407302e-05, 0.000562678964342922, 0.005485309287905693, 0.0012611381243914366, 0.0004094938631169498, 0.0014022581744939089, 0.00031515408772975206, 0.0012695920886471868, 0.0003586979291867465, 0.00037409921060316265, 0.004017366096377373, 0.0006485190824605525, 0.00047396274749189615, 0.00044756304123438895, 0.00017468795704189688, 0.0004255929961800575, 0.00011339455522829667, 0.0004810377140529454, 0.0021122207399457693, 0.004686914384365082, 0.0017484616255387664, 0.007243772968649864, 0.01717170886695385, 0.00600001635029912, 0.00033929196069948375, 0.003774974262341857, 0.003997481893748045, 0.0001478782360209152, 0.02459961175918579, 0.0002444698184262961, 0.012917231768369675, 0.0008143035811372101, 0.00013127809506841004, 0.030743692070245743, 0.002281799213960767, 0.007820060476660728, 0.0058978404849767685, 0.0010120290098711848, 0.00034235123894177377, 0.0006253824103623629, 0.00039761961670592427, 8.05830059107393e-05, 0.0011960125993937254, 0.0008321605855599046, 0.00010715555981732905, 0.000523488677572459];[0.08609870871366626, 0.07598097693024955, 0.011888215538876827, 0.027386999714338566, 0.016807172854162968];[96.73353452867033, 97.42588318835433, 99.50292916740635, 98.95260074560625, 99.52068169714184]
